timestamp,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,RAD_br_hip,RAD_br_knee,RAD_br_foot,RAD_fl_hip,RAD_fl_knee,RAD_fl_foot,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,PWM_br_hip,PWM_br_knee,PWM_br_foot,PWM_fl_hip,PWM_fl_knee,PWM_fl_foot,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot,VOLT_br_hip,VOLT_br_knee,VOLT_br_foot,VOLT_fl_hip,VOLT_fl_knee,VOLT_fl_foot,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot
0.0217,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0040,0.9600,1.5840,1.2860,0.8680,1.4800,1.2520,1.5140,0.6220,1.0320,1.3880,0.6760
0.0429,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0060,0.9600,1.5840,1.2480,0.8680,1.4800,1.2520,1.5140,0.6220,1.0320,1.3880,0.6760
0.0638,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0040,1.0760,1.6420,1.2860,0.9060,1.5720,1.2660,1.7480,0.7860,1.0380,1.5900,0.6780
0.0845,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0040,1.0900,1.6600,1.2920,0.9220,1.5960,1.2620,1.6340,0.7720,1.0380,1.5180,0.6660
0.1055,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0000,1.1000,1.6780,1.2960,0.9380,1.5260,1.2640,1.5620,0.6340,1.0400,1.4500,0.7180
0.1271,-0.4391,0.5525,1.2741,0.2345,0.7283,1.2740,0.2677,-0.5396,-1.1690,-0.2106,-0.5300,-1.1170,1248,1957,2316,1791,1917,2320,1660,1203,842,1396,1229,874,0.9920,1.1160,1.6780,1.2940,0.9600,1.5520,1.2640,1.5060,0.6280,1.0380,1.3820,0.6400
0.1482,-0.4391,0.5525,1.2741,0.2345,0.7283,1.2740,0.2677,-0.5396,-1.1690,-0.2106,-0.5300,-1.1170,1248,1957,2316,1791,1917,2320,1660,1203,842,1396,1229,874,0.9860,1.1400,1.7340,1.2920,0.9960,1.5840,1.2620,1.4140,0.6280,1.0400,1.3260,0.6340
0.1693,-0.4391,0.5525,1.2741,0.2345,0.7283,1.2740,0.2677,-0.5396,-1.1690,-0.2106,-0.5300,-1.1170,1248,1957,2316,1791,1917,2320,1660,1203,842,1396,1229,874,0.9820,1.1680,1.8700,1.2940,1.0320,1.6160,1.2640,1.3700,0.6280,1.0400,1.2740,0.6320
0.1905,-0.4391,0.5525,1.2741,0.2345,0.7283,1.2740,0.2677,-0.5396,-1.1690,-0.2106,-0.5300,-1.1170,1248,1957,2316,1791,1917,2320,1660,1203,842,1396,1229,874,0.9780,1.2080,1.8000,1.2960,1.0760,1.6520,1.2660,1.3260,0.6260,1.0420,1.2020,0.6280
0.2116,-0.4391,0.5525,1.2741,0.2345,0.7283,1.2740,0.2677,-0.5396,-1.1690,-0.2106,-0.5300,-1.1170,1248,1957,2316,1791,1917,2320,1660,1203,842,1396,1229,874,0.9760,1.2020,1.9220,1.3000,1.1200,1.6800,1.2680,1.2800,0.6260,1.0440,1.1420,0.6200
0.2332,-0.4623,0.5532,1.2839,0.2992,0.8749,1.4036,0.2876,-0.5421,-1.1848,-0.1924,-0.5261,-1.0982,1235,1957,2322,1830,2001,2398,1672,1202,833,1407,1231,885,0.9720,1.2660,1.7980,1.3060,1.1660,1.7120,1.2700,1.2360,0.6240,1.0460,1.1140,0.6220
0.2543,-0.4623,0.5532,1.2839,0.2992,0.8749,1.4036,0.2876,-0.5421,-1.1848,-0.1924,-0.5261,-1.0982,1235,1957,2322,1830,2001,2398,1672,1202,833,1407,1231,885,0.9680,1.3080,1.8040,1.3100,1.2120,1.9580,1.4100,1.1880,0.6220,1.0480,1.0280,0.6200
0.2754,-0.4623,0.5532,1.2839,0.2992,0.8749,1.4036,0.2876,-0.5421,-1.1848,-0.1924,-0.5261,-1.0982,1235,1957,2322,1830,2001,2398,1672,1202,833,1407,1231,885,0.9660,1.3880,1.8060,1.3160,1.2480,1.7580,1.4120,1.1460,0.6180,1.0500,0.9840,0.6200
0.2965,-0.4623,0.5532,1.2839,0.2992,0.8749,1.4036,0.2876,-0.5421,-1.1848,-0.1924,-0.5261,-1.0982,1235,1957,2322,1830,2001,2398,1672,1202,833,1407,1231,885,0.9660,1.3880,1.8060,1.3200,1.2980,1.7760,1.2800,1.0420,0.6140,1.0960,0.9400,0.6200
0.3176,-0.4623,0.5532,1.2839,0.2992,0.8749,1.4036,0.2876,-0.5421,-1.1848,-0.1924,-0.5261,-1.0982,1235,1957,2322,1830,2001,2398,1672,1202,833,1407,1231,885,0.9600,1.4260,1.8080,1.3260,1.3520,1.7960,1.2860,1.0000,0.6140,1.0580,0.9320,0.6220
0.3392,-0.4860,0.5538,1.2930,0.3685,0.9572,1.4848,0.3079,-0.5443,-1.1998,-0.1747,-0.5218,-1.0785,1221,1957,2328,1872,2048,2448,1684,1201,824,1417,1234,897,0.9620,1.4540,1.8080,1.3360,1.3920,1.8060,1.2940,0.9700,0.6140,1.0600,0.9300,0.6220
0.3602,-0.4860,0.5538,1.2930,0.3685,0.9572,1.4848,0.3079,-0.5443,-1.1998,-0.1747,-0.5218,-1.0785,1221,1957,2328,1872,2048,2448,1684,1201,824,1417,1234,897,0.9580,1.4820,1.8080,1.3420,1.4360,1.8200,1.2780,0.9540,0.6120,1.0640,0.9140,0.6240
0.3813,-0.4860,0.5538,1.2930,0.3685,0.9572,1.4848,0.3079,-0.5443,-1.1998,-0.1747,-0.5218,-1.0785,1221,1957,2328,1872,2048,2448,1684,1201,824,1417,1234,897,0.9520,1.4860,1.8100,1.3560,1.4760,1.8300,1.2800,0.9440,0.6100,1.0600,0.9100,0.6260
0.4024,-0.4860,0.5538,1.2930,0.3685,0.9572,1.4848,0.3079,-0.5443,-1.1998,-0.1747,-0.5218,-1.0785,1221,1957,2328,1872,2048,2448,1684,1201,824,1417,1234,897,0.9540,1.4920,1.8100,1.4040,1.5760,1.8420,1.2820,0.9380,0.6160,1.0580,0.9080,0.6280
0.4235,-0.4860,0.5538,1.2930,0.3685,0.9572,1.4848,0.3079,-0.5443,-1.1998,-0.1747,-0.5218,-1.0785,1221,1957,2328,1872,2048,2448,1684,1201,824,1417,1234,897,0.9500,1.4920,1.8120,1.3540,1.5260,1.8500,1.2820,0.9360,0.7180,1.0600,0.9080,0.6280
0.4450,-0.5100,0.5542,1.3013,0.4424,0.9686,1.5254,0.3287,-0.5463,-1.2140,-0.1747,-0.5218,-1.0785,1207,1958,2333,1917,2055,2472,1696,1200,815,1417,1234,897,0.9480,1.4920,1.8140,1.3580,1.5380,1.8580,1.2840,0.9340,0.9240,1.0600,0.9080,0.6640
0.4661,-0.5100,0.5542,1.3013,0.4424,0.9686,1.5254,0.3287,-0.5463,-1.2140,-0.1747,-0.5218,-1.0785,1207,1958,2333,1917,2055,2472,1696,1200,815,1417,1234,897,0.9460,1.4920,1.8160,1.3640,1.5460,1.8660,1.2860,0.9320,0.6980,1.0620,0.9080,0.7480
0.4872,-0.5100,0.5542,1.3013,0.4424,0.9686,1.5254,0.3287,-0.5463,-1.2140,-0.1747,-0.5218,-1.0785,1207,1958,2333,1917,2055,2472,1696,1200,815,1417,1234,897,0.9440,1.4920,1.8180,1.3720,1.5580,1.8720,1.2880,0.9440,0.6020,1.0640,0.9080,0.6320
0.5083,-0.5100,0.5542,1.3013,0.4424,0.9686,1.5254,0.3287,-0.5463,-1.2140,-0.1747,-0.5218,-1.0785,1207,1958,2333,1917,2055,2472,1696,1200,815,1417,1234,897,0.9400,1.4920,1.8140,1.3780,1.5620,1.8780,1.2900,0.9900,0.6000,1.0640,0.9080,0.6380
0.5294,-0.5100,0.5542,1.3013,0.4424,0.9686,1.5254,0.3287,-0.5463,-1.2140,-0.1747,-0.5218,-1.0785,1207,1958,2333,1917,2055,2472,1696,1200,815,1417,1234,897,0.9380,1.4920,1.8240,1.3880,1.5660,1.8880,1.2920,1.1400,0.6000,1.0640,0.9080,0.6440
