timestamp,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,RAD_br_hip,RAD_br_knee,RAD_br_foot,RAD_fl_hip,RAD_fl_knee,RAD_fl_foot,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,PWM_br_hip,PWM_br_knee,PWM_br_foot,PWM_fl_hip,PWM_fl_knee,PWM_fl_foot,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot,VOLT_br_hip,VOLT_br_knee,VOLT_br_foot,VOLT_fl_hip,VOLT_fl_knee,VOLT_fl_foot,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot
0.0218,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1660,0.7960,1.1720,1.2080,0.7760,1.1680,1.1400,1.7460,1.1760,1.1480,1.5960,1.1600
0.0431,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1700,0.8080,1.1140,1.1520,0.7780,1.1140,1.1780,1.6940,1.1760,1.1520,1.5600,1.1220
0.0643,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1720,0.8380,1.1900,1.2220,0.7980,1.1680,1.2260,1.8060,1.1720,1.1420,1.6260,1.1700
0.0854,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1640,0.8900,1.2460,1.2380,0.8240,1.2540,1.2900,1.8420,1.3600,1.1580,1.6560,1.2000
0.1066,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1380,0.9360,1.2720,1.2580,0.8460,1.2960,1.3440,1.7960,1.3300,1.1480,1.6500,1.1620
0.1277,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.1080,0.9480,1.2960,1.2740,0.8740,1.3120,1.2180,1.7380,1.2920,1.0940,1.6020,1.1140
0.1489,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0580,0.9680,1.3320,1.3040,0.9040,1.3420,1.2360,1.6880,1.2340,1.0820,1.5540,1.0640
0.1701,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0280,0.9980,1.3720,1.3620,0.9360,1.3740,1.2520,1.6360,1.1620,1.0620,1.5020,1.0140
0.1912,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,1.0060,1.0380,1.4180,1.2920,0.9800,1.4160,1.2580,1.5880,1.0680,1.0560,1.4520,0.9620
0.2123,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9940,1.0780,1.4600,1.2900,1.0220,1.4600,1.2600,1.5400,1.0540,1.0500,1.4000,0.9100
