timestamp,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,RAD_br_hip,RAD_br_knee,RAD_br_foot,RAD_fl_hip,RAD_fl_knee,RAD_fl_foot,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,PWM_br_hip,PWM_br_knee,PWM_br_foot,PWM_fl_hip,PWM_fl_knee,PWM_fl_foot,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot,VOLT_br_hip,VOLT_br_knee,VOLT_br_foot,VOLT_fl_hip,VOLT_fl_knee,VOLT_fl_foot,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot
0.0219,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9820,0.9880,1.7200,1.2880,1.3760,1.6860,1.2520,1.5240,0.6220,1.0320,1.3420,0.6160
0.0431,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9840,0.9880,1.7200,1.2900,1.3760,1.6860,1.2540,1.5240,0.6220,1.0320,1.3420,0.6160
0.0642,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9880,1.2020,1.7280,1.2900,1.3800,1.6900,1.2660,1.7480,0.6240,1.0400,1.5760,0.6260
0.0851,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9860,1.1500,1.7460,1.2880,1.3800,1.6880,1.2620,1.6420,0.6440,1.0380,1.4720,0.6200
0.1059,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9800,1.1420,1.7640,1.2920,1.3780,1.6860,1.2640,1.5680,0.7500,1.0380,1.4020,0.6180
0.1271,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9760,1.1540,1.7780,1.2880,1.3780,1.6860,1.2640,1.5080,0.9060,1.0400,1.3360,0.6200
0.1483,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9760,1.1800,1.7900,1.2880,1.3780,1.6860,1.2620,1.4500,0.6600,1.0420,1.2760,0.6140
0.1695,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9740,1.2180,1.8000,1.2880,1.3760,1.6860,1.2640,1.3840,0.6260,1.0400,1.2240,0.6180
0.1904,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9740,1.2620,1.8620,1.2880,1.3760,1.6880,1.2640,1.3360,0.6260,1.0400,1.1720,0.6140
0.2115,-0.4162,0.5517,1.2636,0.1747,0.5218,1.0785,0.2482,-0.5367,-1.1524,-0.2291,-0.5335,-1.1351,1261,1956,2310,1755,1798,2202,1648,1205,852,1385,1227,863,0.9740,1.3100,1.8400,1.2880,1.3760,1.6860,1.2640,1.2660,0.6260,1.0420,1.0980,0.6180
